,date,daily_ratio
0,2018-07-01,0.4768517007913392
1,2018-07-02,0.9571272546667748
2,2018-07-03,0.9171858784486652
3,2018-07-04,0.8851308807682657
4,2018-07-05,0.9220553203839902
5,2018-07-06,0.9176592537137488
6,2018-07-07,0.5433902677435662
7,2018-07-08,0.5589149315104777
8,2018-07-09,0.9567184784787909
9,2018-07-10,0.9484509637674075
10,2018-07-11,0.9308034773982523
11,2018-07-12,0.9101009470629648
12,2018-07-13,0.8689063555442067
13,2018-07-14,0.7292673957268992
14,2018-07-15,0.6435906463414717
15,2018-07-16,0.9139719429406364
16,2018-07-17,0.9869362649680843
17,2018-07-18,0.9781660538447853
18,2018-07-19,0.9451963765636029
19,2018-07-20,0.9533911868390378
20,2018-07-21,0.7009819494312352
21,2018-07-22,0.693730735793253
22,2018-07-23,0.9323763441451837
23,2018-07-24,0.9508321678563538
24,2018-07-25,0.9245180772763567
25,2018-07-26,0.9759606718800946
26,2018-07-27,0.9481753814038277
27,2018-07-28,0.7091378514972873
28,2018-07-29,0.7192819005734992
29,2018-07-30,0.9475549898065398
30,2018-07-31,0.9137042872196319
31,2018-08-01,0.9481588613549948
32,2018-08-02,0.8621012777041646
33,2018-08-03,0.9655520293607647
34,2018-08-04,0.6105061285797889
35,2018-08-05,0.57276181052568
36,2018-08-06,0.9847709569711842
37,2018-08-07,0.980690414167437
38,2018-08-08,0.965613393241179
39,2018-08-09,0.9627398636081002
40,2018-08-10,0.9266337613810212
41,2018-08-11,0.6139549772935661
42,2018-08-12,0.6336793611152728
43,2018-08-13,0.9653779906073172
44,2018-08-14,0.9215790935581424
45,2018-08-15,0.924192628635569
46,2018-08-16,0.912037549395898
47,2018-08-17,0.9000558867659632
48,2018-08-18,0.7175071073411633
49,2018-08-19,0.5897129811575015
50,2018-08-20,0.9856113409130202
51,2018-08-21,0.9186747466092274
52,2018-08-22,0.9528385301768073
53,2018-08-23,0.8930770506424057
54,2018-08-24,0.8082209280954916
55,2018-08-25,0.576614199014111
56,2018-08-26,0.6345762578451141
57,2018-08-27,0.9715197779720667
58,2018-08-28,0.9667336480038254
59,2018-08-29,0.9355592471040726
60,2018-08-30,0.9650139931095896
61,2018-08-31,0.9795272263295571
62,2018-09-01,0.6656803093220846
63,2018-09-02,0.5223278786850747
64,2018-09-03,0.9609800226059048
65,2018-09-04,0.9530025327787852
66,2018-09-05,0.9768278258178207
67,2018-09-06,0.9719352962719466
68,2018-09-07,0.9267804879245877
69,2018-09-08,0.6121358441771348
70,2018-09-09,0.6581828681986263
71,2018-09-10,0.9507062529460544
72,2018-09-11,0.9445717376446616
73,2018-09-12,0.951715556903549
74,2018-09-13,0.9672189513836822
75,2018-09-14,0.9333010023080162
76,2018-09-15,0.5351649885516531
77,2018-09-16,0.5380372911170446
78,2018-09-17,0.9701190929486544
79,2018-09-18,0.9483158597229893
80,2018-09-19,0.813366728817949
81,2018-09-20,0.8436618549393202
82,2018-09-21,0.7002217643514377
83,2018-09-22,0.5501737874565258
84,2018-09-23,0.46745712148595003
85,2018-09-24,0.9148871750925822
86,2018-09-25,0.96826167313035
87,2018-09-26,0.9763271299570685
88,2018-09-27,0.9911400325335263
89,2018-09-28,0.8697577036342974
90,2018-09-29,0.4376669405647328
91,2018-09-30,0.48188543315165083
